Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
undecan-1-ol,112-42-5,172.183,2.12,(4.70),1.06,1.08,0.11,-,86,(97),226 ,223 ,3 ,-,,
dodecan-1-ol,112-53-8,186.198,2.49,(9.45),0.40,0.39,0.60,-,161,(202),378 ,359 ,19 ,-,,
2-[2-(2-hydroxypropoxy)propoxy]propan-1-ol,24800-44-0,192.136,1.08,(3.04),0.19,0.19,-,-,48,(49),23 ,23 ,-,-,,
2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol,112-60-7,194.115,6.53,(40.74),3.19,3.19,-,-,26,(33),546 ,546 ,-,-,,
tridecan-1-ol,112-70-9,200.214,2.30,(21.01),2.97,2.97,-,-,75,(94),21 ,21 ,-,-,,
tetradecan-1-ol,112-72-1,214.230,1.08,(8.66),0.25,0.25,0.00,-,140,(172),91 ,90 ,1 ,-,,
hexadecan-1-ol,36653-82-4,242.261,2.35,(9.56),0.52,0.52,-,-,150,(188),148 ,148 ,-,-,,
2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]propan-1-ol,24800-25-7,250.178,3.79,(31.46),0.75,0.75,-,-,48,(61),18 ,18 ,-,-,,
octadecan-1-ol,112-92-5,270.292,2.73,(7.75),1.09,1.09,-,-,107,(134),48 ,48 ,-,-,,
formaldehyde,50-00-0,30.011,3.16,(6.42),0.84,1.03,0.46,-,31,(39),3 ,2 ,1 ,-,,
acetaldehyde,75-07-0,44.026,2.84,(4.50),0.28,0.27,0.31,-,197,(207),87 ,74 ,13 ,-,,
prop-2-enal,107-02-8,56.026,1.56,(2.47),0.17,0.17,-,-,77,(82),9 ,9 ,-,-,,
propanal,123-38-6,58.042,2.11,(4.36),0.82,0.82,-,-,145,(158),68 ,68 ,-,-,,
(e)-but-2-enal,123-73-9,70.042,2.31,(8.18),0.36,0.36,-,-,103,(109),47 ,47 ,-,-,,
2-methylprop-2-enal,78-85-3,70.042,0.96,(2.76),1.03,1.03,-,-,35,(39),6 ,6 ,-,-,,
butanal,123-72-8,72.058,2.04,(3.70),2.71,2.78,0.74,-,156,(164),175 ,169 ,6 ,-,,
2-methylpropanal,78-84-2,72.058,1.88,(2.88),1.06,1.06,-,-,217,(229),97 ,97 ,-,-,,
3-methylbutanal,590-86-3,86.073,0.62,-,1.25,1.25,-,-,48,-,93 ,93 ,-,-,,
pentanal,110-62-3,86.073,1.20,-,0.87,0.87,-,-,73,-,107 ,107 ,-,-,,
(e)-2-methylpent-2-enal,623-36-9,98.073,13.11,(31.38),0.20,0.20,-,-,10,(13),4 ,4 ,-,-,,
hexanal,66-25-1,100.089,2.20,(5.12),0.90,0.90,-,-,146,(176),38 ,38 ,-,-,,
benzaldehyde,100-52-7,106.042,4.19,(9.49),0.32,0.33,0.00,-,331,(414),219 ,216 ,3 ,-,,
3-methylhexanal,19269-28-4,114.104,1.74,-,0.12,0.12,-,-,16,-,7 ,7 ,-,-,,
heptanal,111-71-7,114.104,4.09,(12.37),1.43,1.43,-,-,45,(57),37 ,37 ,-,-,,
4-methylbenzaldehyde,104-87-0,120.058,5.44,(40.52),0.33,0.33,-,-,88,(110),3 ,3 ,-,-,,
2-ethylhexanal,123-05-7,128.120,4.98,(7.62),0.70,0.70,-,-,58,(65),46 ,46 ,-,-,,
octanal,124-13-0,128.120,6.78,(13.05),0.41,0.41,-,-,71,(89),23 ,23 ,-,-,,
nonanal,124-19-6,142.136,6.54,(10.92),0.38,0.38,-,-,60,(66),32 ,32 ,-,-,,
decanal,112-31-2,156.151,7.20,(13.31),1.92,1.92,-,-,46,(57),17 ,17 ,-,-,,
undecanal,112-44-7,170.167,7.80,(12.42),0.75,0.75,-,-,22,(25),10 ,10 ,-,-,,
