Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
1-chloro-2-methylbenzene,95-49-8,126.024,2.07,(2.20),0.11,0.11,-,-,88,(89),85 ,85 ,-,-,,
chloromethylbenzene,100-44-7,126.024,2.59,(6.26),0.19,0.19,-,-,132,(152),32 ,32 ,-,-,,
1-chloro-4-methylbenzene,106-43-4,126.024,2.38,(3.92),0.10,0.10,-,-,76,(81),85 ,85 ,-,-,,
naphthalene,91-20-3,128.063,0.79,(0.93),0.26,0.30,0.21,-,876,(884),49 ,30 ,19 ,-,,
quinoline,91-22-5,129.058,1.70,(4.25),0.66,0.66,-,-,317,(330),208 ,208 ,-,-,,
isoquinoline,119-65-3,129.058,0.75,(4.79),0.24,0.24,-,-,93,(95),29 ,29 ,-,-,,
1-methyl-1h-indene,767-59-9,130.078,5.88,(15.58),0.29,0.29,-,-,6,(8),8 ,8 ,-,-,,
1-ethenyl-2-ethylbenzene,7564-63-8,132.094,1.09,(4.04),0.15,0.15,-,-,9,(10),11 ,11 ,-,-,,
but-1-en-2-ylbenzene,2039-93-2,132.094,10.19,-,1.88,1.88,-,-,10,-,6 ,6 ,-,-,,
"1-methyl-2,3-dihydro-1h-indene",767-58-8,132.094,2.92,(9.09),0.37,0.37,-,-,15,(19),12 ,12 ,-,-,,
"5-methyl-2,3-dihydro-1h-indene",874-35-1,132.094,3.38,(5.27),0.12,0.12,-,-,12,(14),10 ,10 ,-,-,,
1-ethenyl-3-ethylbenzene,7525-62-4,132.094,1.61,-,0.02,0.02,-,-,11,-,12 ,12 ,-,-,,
"1,2,3,4-tetrahydronaphthalene",119-64-2,132.094,1.16,(6.59),0.28,0.28,-,-,302,(326),230 ,230 ,-,-,,
"1,2,3,5-tetramethylbenzene",527-53-7,134.110,2.12,(2.83),0.02,0.02,-,-,33,(34),4 ,4 ,-,-,,
"1,3-diethylbenzene",141-93-5,134.110,1.05,(2.26),0.05,0.05,-,-,31,(33),26 ,26 ,-,-,,
"1,4-diethylbenzene",105-05-5,134.110,6.73,(14.90),0.02,0.02,-,-,27,(31),15 ,15 ,-,-,,
1-methyl-2-propan-2-ylbenzene,527-84-4,134.110,2.03,(3.29),0.12,0.12,-,-,15,(16),11 ,11 ,-,-,,
1-methyl-4-propylbenzene,1074-55-1,134.110,0.93,-,0.04,0.04,-,-,40,-,14 ,14 ,-,-,,
1-methyl-2-propylbenzene,1074-17-5,134.110,0.22,(1.59),0.05,0.05,-,-,38,(41),14 ,14 ,-,-,,
1-methyl-3-propylbenzene,1074-43-7,134.110,0.68,-,0.03,0.03,-,-,36,-,12 ,12 ,-,-,,
2-methylpropylbenzene,538-93-2,134.110,1.66,(4.92),0.14,0.14,-,-,45,(51),32 ,32 ,-,-,,
"1,2,3,4-tetramethylbenzene",488-23-3,134.110,2.71,(4.19),0.15,0.15,-,-,23,(25),14 ,14 ,-,-,,
1-methyl-3-propan-2-ylbenzene,535-77-3,134.110,1.07,-,0.06,0.06,-,-,19,-,11 ,11 ,-,-,,
"1,2-diethylbenzene",135-01-3,134.110,0.10,-,0.06,0.06,-,-,23,-,9 ,9 ,-,-,,
tert-butylbenzene,98-06-6,134.110,2.25,(5.52),0.36,0.38,0.08,-,109,(117),99 ,92 ,7 ,-,,
butan-2-ylbenzene,135-98-8,134.110,1.40,(2.46),0.33,0.34,0.29,-,121,(126),72 ,63 ,9 ,-,,
1-methyl-4-propan-2-ylbenzene,99-87-6,134.110,2.51,(3.65),1.13,1.16,0.41,-,136,(142),230 ,221 ,9 ,-,,
butylbenzene,104-51-8,134.110,1.80,(2.32),0.48,0.48,0.35,-,194,(199),165 ,156 ,9 ,-,,
methyl benzoate,93-58-3,136.052,1.33,(2.92),0.32,0.32,-,-,409,(440),308 ,308 ,-,-,,
benzyl formate,104-57-4,136.052,6.44,-,0.18,0.18,-,-,12,-,8 ,8 ,-,-,,
3-phenylpropan-1-ol,122-97-4,136.089,10.40,(45.40),1.15,1.15,-,-,20,(25),13 ,13 ,-,-,,
2-phenylpropan-2-ol,617-94-7,136.089,2.96,(7.90),1.01,1.01,-,-,28,(33),4 ,4 ,-,-,,
1-phenylpropan-1-ol,93-54-9,136.089,5.78,(13.09),0.33,0.33,-,-,21,(26),25 ,25 ,-,-,,
1-phenylpropan-2-ol,698-87-3,136.089,3.95,(18.84),0.63,0.63,-,-,27,(34),6 ,6 ,-,-,,
2-methylnaphthalene,91-57-6,142.078,2.28,(5.04),0.67,0.75,0.17,-,139,(147),92 ,79 ,13 ,-,,
1-methylnaphthalene,90-12-0,142.078,2.40,(10.31),0.49,0.49,-,-,246,(258),326 ,326 ,-,-,,
8-methylquinoline,611-32-5,143.073,2.67,(3.43),0.31,0.38,0.10,-,92,(95),31 ,23 ,8 ,-,,
2-methylquinoline,91-63-4,143.073,2.00,(5.24),0.18,0.20,0.15,-,124,(132),30 ,21 ,9 ,-,,
"1,3-dichlorobenzene",541-73-1,145.969,1.03,(2.54),0.95,0.96,0.01,-,143,(155),68 ,67 ,1 ,-,,
"1,4-dichlorobenzene",106-46-7,145.969,0.82,(1.71),0.81,0.84,0.04,-,143,(150),24 ,23 ,1 ,-,,
"1,2-dichlorobenzene",95-50-1,145.969,0.80,(2.70),0.23,0.23,0.00,-,213,(229),120 ,119 ,1 ,-,,
(e)-3-phenylprop-2-enoic acid,140-10-3,148.052,14.15,(28.83),0.95,1.40,0.06,-,11,(14),3 ,2 ,1 ,-,,
"2-ethyl-1,3,4-trimethylbenzene",61827-87-0,148.125,3.91,(4.41),0.20,0.20,-,-,30,(31),4 ,4 ,-,-,,
pentylbenzene,538-68-1,148.125,2.42,(8.39),0.21,0.21,-,-,43,(54),39 ,39 ,-,-,,
"1,2,3,4,5-pentamethylbenzene",700-12-9,148.125,1.22,(10.89),0.11,0.11,-,-,9,(11),7 ,7 ,-,-,,
"1-ethyl-2,4,5-trimethylbenzene",17851-27-3,148.125,3.32,(4.25),1.08,1.08,-,-,57,(63),10 ,10 ,-,-,,
"n,n-diethylaniline",91-66-7,149.120,1.33,(3.45),2.27,2.29,0.03,-,346,(376),83 ,82 ,1 ,-,,
benzyl acetate,140-11-4,150.068,3.17,(9.15),0.27,0.27,-,-,72,(90),49 ,49 ,-,-,,
ethyl benzoate,93-89-0,150.068,2.57,(8.64),0.40,0.40,-,-,136,(164),110 ,110 ,-,-,,
2-tert-butylphenol,88-18-6,150.104,2.12,(6.65),0.24,0.24,-,-,59,(68),8 ,8 ,-,-,,
5-methyl-2-propan-2-ylphenol,89-83-8,150.104,1.46,(5.11),0.32,0.32,-,-,16,(20),108 ,108 ,-,-,,
"1,1?-biphenyl",92-52-4,154.078,2.53,(4.39),0.40,0.35,0.60,-,466,(485),52 ,42 ,10 ,-,,
2-ethylnaphthalene,939-27-5,156.094,1.51,(15.19),0.45,0.45,-,-,68,(86),31 ,31 ,-,-,,
"2,7-dimethylnaphthalene",582-16-1,156.094,0.78,(1.37),0.32,-,0.32,-,46,(48),8 ,-,8 ,-,,
1-ethylnaphthalene,1127-76-0,156.094,2.19,(8.33),0.46,0.46,-,-,27,(32),23 ,23 ,-,-,,
"2,4-dichloro-1-methylbenzene",95-73-8,159.985,2.97,-,0.23,0.23,-,-,27,-,383 ,383 ,-,-,,
dichloromethylbenzene,98-87-3,159.985,5.95,(12.29),0.55,0.55,-,-,18,(23),12 ,12 ,-,-,,
cyclohexylbenzene,827-52-1,160.125,1.48,(8.41),0.13,0.13,-,-,90,(101),17 ,17 ,-,-,,
1-chloronaphthalene,90-13-1,162.024,1.84,(6.86),0.68,0.68,-,-,280,(321),25 ,25 ,-,-,,
1-tert-butyl-4-ethylbenzene,7364-19-4,162.141,3.77,(7.12),0.12,0.12,-,-,10,(11),5 ,5 ,-,-,,
"1,2,3,4,5,6-hexamethylbenzene",87-85-4,162.141,4.78,(8.39),0.14,0.14,-,-,9,(10),17 ,17 ,-,-,,
"1,3-di(propan-2-yl)benzene",99-62-7,162.141,1.62,-,0.19,0.19,-,-,23,-,3 ,3 ,-,-,,
hexylbenzene,1077-16-3,162.141,1.70,(6.44),0.20,0.20,-,-,80,(86),183 ,183 ,-,-,,
propyl benzoate,2315-68-6,164.084,3.01,(7.29),0.40,0.40,-,-,35,(42),127 ,127 ,-,-,,
ethyl 2-phenylacetate,101-97-3,164.084,5.70,(18.96),0.26,0.26,-,-,56,(71),39 ,39 ,-,-,,
benzylbenzene,101-81-5,168.094,2.00,(5.06),0.55,0.60,0.13,-,255,(276),92 ,82 ,10 ,-,,
n-phenylaniline,122-39-4,169.089,3.21,(16.03),8.01,8.18,0.12,-,90,(94),46 ,45 ,1 ,-,,
1-propylnaphthalene,2765-18-6,170.110,3.38,(43.05),0.26,0.26,-,-,12,(16),11 ,11 ,-,-,,
heptylbenzene,1078-71-3,176.157,3.53,(7.80),0.41,0.41,-,-,37,(47),32 ,32 ,-,-,,
anthracene,120-12-7,178.078,1.72,(1.89),0.33,0.33,-,-,73,(74),18 ,18 ,-,-,,
phenanthrene,85-01-8,178.078,3.10,(7.52),0.10,0.10,-,-,231,(256),36 ,36 ,-,-,,
butyl benzoate,136-60-7,178.099,3.46,(12.01),0.19,0.19,-,-,32,(40),26 ,26 ,-,-,,
acridine,260-94-6,179.073,1.43,(6.71),0.30,0.05,0.34,-,70,(88),7 ,1 ,6 ,-,,
"1,3,5-trichlorobenzene",108-70-3,179.930,1.28,(2.14),0.05,0.05,-,-,49,(52),5 ,5 ,-,-,,
"1,2,3-trichlorobenzene",87-61-6,179.930,2.04,(2.44),0.03,0.03,-,-,30,(31),7 ,7 ,-,-,,
"1,2,4-trichlorobenzene",120-82-1,179.930,0.94,(3.75),0.07,0.07,-,-,55,(58),43 ,43 ,-,-,,
1-phenylethylbenzene,612-00-0,182.110,13.51,-,0.38,0.38,-,-,26,-,24 ,24 ,-,-,,
octylbenzene,2189-60-8,190.172,3.42,(34.92),0.31,0.31,-,-,57,(70),82 ,82 ,-,-,,
"1,4-ditert-butylbenzene",1012-72-2,190.172,1.60,(3.23),0.15,0.17,0.02,-,76,(81),7 ,6 ,1 ,-,,
"dimethylbenzene-1,3-dicarboxylate",1459-93-4,194.058,2.52,(11.01),0.43,0.43,-,-,56,(71),9 ,9 ,-,-,,
"dimethylbenzene-1,2-dicarboxylate",131-11-3,194.058,4.63,(15.35),0.64,0.64,-,-,102,(128),74 ,74 ,-,-,,
"dimethylbenzene-1,4-dicarboxylate",120-61-6,194.058,2.90,(6.83),0.33,0.33,-,-,43,(48),12 ,12 ,-,-,,
1-phenylnaphthalene,605-02-7,204.094,1.82,(2.85),0.22,0.22,-,-,56,(58),5 ,5 ,-,-,,
nonylbenzene,1081-77-2,204.188,2.17,(4.88),0.39,0.39,-,-,36,(43),70 ,70 ,-,-,,
"1,3,5-tri(propan-2-yl)benzene",717-74-8,204.188,1.47,(1.71),0.25,0.25,-,-,27,(28),14 ,14 ,-,-,,
benzyl benzoate,120-51-4,212.084,9.12,(42.42),0.51,0.51,-,-,48,(60),24 ,24 ,-,-,,
4-(2-phenylpropan-2-yl)phenol,599-64-4,212.120,1.45,(9.27),1.35,1.35,-,-,46,(58),8 ,8 ,-,-,,
"1,2,3,4,5-pentaethylbenzene",605-01-6,218.203,1.69,-,0.18,0.18,-,-,5,-,4 ,4 ,-,-,,
decylbenzene,104-72-3,218.203,2.64,(8.81),0.45,0.45,-,-,42,(48),88 ,88 ,-,-,,
2-nonylphenol,25154-52-3,220.183,5.34,(8.80),0.63,0.63,-,-,16,(19),13 ,13 ,-,-,,
"2,6-ditert-butyl-4-methylphenol",128-37-0,220.183,2.85,(5.22),0.52,0.52,-,-,29,(36),10 ,10 ,-,-,,
"diethylbenzene-1,2-dicarboxylate",84-66-2,222.089,2.63,(9.60),0.43,0.43,-,-,141,(176),266 ,266 ,-,-,,
"1,3-diphenylbenzene",92-06-8,230.110,2.15,(11.63),0.29,0.25,0.43,-,83,(96),25 ,19 ,6 ,-,,
"1,2-diphenylbenzene",84-15-1,230.110,3.25,(5.81),0.71,0.71,0.70,-,115,(127),32 ,25 ,7 ,-,,
"1,4-diphenylbenzene",92-94-4,230.110,1.78,(4.05),0.75,0.80,0.59,-,47,(51),22 ,16 ,6 ,-,,
undecylbenzene,6742-54-7,232.219,2.30,(4.72),0.44,0.44,-,-,33,(34),82 ,82 ,-,-,,
benzhydrylbenzene,519-73-3,244.125,2.59,-,0.13,0.13,-,-,27,-,13 ,13 ,-,-,,
"bis(prop-2-enyl)benzene-1,2-dicarboxylate",131-17-9,246.089,10.25,(20.89),0.16,0.16,-,-,12,(16),5 ,5 ,-,-,,
dodecylbenzene,123-01-3,246.235,2.89,(12.22),0.43,0.43,-,-,51,(64),67 ,67 ,-,-,,
"1,2,4,5-tetra(propan-2-yl)benzene",635-11-0,246.235,1.61,(3.97),0.01,0.01,-,-,24,(27),3 ,3 ,-,-,,
tridecylbenzene,123-02-4,260.250,3.44,(4.04),0.46,0.46,-,-,19,(20),104 ,104 ,-,-,,
"dibutylbenzene-1,2-dicarboxylate",84-74-2,278.152,5.01,(11.06),0.45,0.45,-,-,251,(311),72 ,72 ,-,-,,
"dibutylbenzene-1,4-dicarboxylate",1962-75-0,278.152,6.40,(12.79),0.55,0.55,-,-,16,(19),5 ,5 ,-,-,,
"bis(2-methylpropyl)benzene-1,2-dicarboxylate",84-69-5,278.152,5.04,(11.39),0.29,0.29,-,-,12,(16),3 ,3 ,-,-,,
"bis(2-ethylhexyl)benzene-1,4-dicarboxylate",6422-86-2,390.277,3.69,(10.30),0.31,0.31,-,-,8,(10),14 ,14 ,-,-,,
"bis(2-ethylhexyl)benzene-1,2-dicarboxylate",117-81-7,390.277,11.81,(27.26),0.66,0.66,-,-,67,(84),175 ,175 ,-,-,,
chloromethane,74-87-3,49.992,1.78,(2.01),0.72,0.76,0.59,(2.64),351,(358),249 ,193 ,56 ,(761),,
chloroethene,75-01-4,61.992,1.33,(1.52),0.75,0.76,0.51,-,237,(240),162 ,154 ,8 ,-,,
chloroethane,75-00-3,64.008,1.34,(2.10),0.58,0.38,0.84,-,122,(127),79 ,44 ,35 ,-,,
2-chloroprop-1-ene,557-98-2,76.008,2.06,-,0.21,0.21,-,-,15,-,7 ,7 ,-,-,,
3-chloroprop-1-ene,107-05-1,76.008,1.60,-,0.10,0.10,-,-,81,-,26 ,26 ,-,-,,
1-chloropropane,540-54-5,78.024,1.74,(2.51),0.39,0.40,0.27,-,145,(152),251 ,229 ,22 ,-,,
2-chloropropane,75-29-6,78.024,3.01,(4.69),0.44,0.43,0.48,-,85,(91),111 ,103 ,8 ,-,,
dichloromethane,75-09-2,83.953,1.63,(2.17),0.25,0.25,0.28,-,392,(404),402 ,390 ,12 ,-,,
1-chloro-2-methylpropane,513-36-0,92.039,0.96,-,1.36,1.37,0.01,-,49,-,151 ,150 ,1 ,-,,
1-chlorobutane,109-69-3,92.039,0.74,(3.76),0.84,0.84,1.12,-,303,(310),488 ,478 ,10 ,-,,
2-chlorobutane,78-86-4,92.039,0.86,-,0.26,0.26,-,-,91,-,157 ,157 ,-,-,,
2-chloro-2-methylpropane,507-20-0,92.039,1.24,-,0.46,0.46,-,-,94,-,217 ,217 ,-,-,,
"1,1-dichloroethene",75-35-4,95.953,2.72,(3.34),0.66,0.74,0.01,-,57,(60),9 ,8 ,1 ,-,,
"(z)-1,2-dichloroethene",156-59-2,95.953,1.79,(2.76),1.01,1.19,0.77,-,155,(167),45 ,26 ,19 ,-,,
"(e)-1,2-dichloroethene",156-60-5,95.953,1.98,-,0.19,0.21,0.17,-,145,-,40 ,21 ,19 ,-,,
"1,1-dichloroethane",75-34-3,97.969,1.66,(1.87),0.28,0.31,0.05,-,163,(166),48 ,43 ,5 ,-,,
"1,2-dichloroethane",107-06-2,97.969,0.83,(1.23),0.15,0.15,0.15,-,840,(855),496 ,491 ,5 ,-,,
1-chloropentane,543-59-9,106.055,1.89,-,0.34,0.34,-,-,85,-,152 ,152 ,-,-,,
"(z)-1,3-dichloroprop-1-ene",10061-01-5,109.969,2.34,(6.10),0.76,0.76,-,-,24,(26),6 ,6 ,-,-,,
"2,3-dichloroprop-1-ene",78-88-6,109.969,1.74,(1.91),2.51,2.51,-,-,78,(79),16 ,16 ,-,-,,
"(e)-1,3-dichloroprop-1-ene",10061-02-6,109.969,1.64,(6.56),0.38,0.38,-,-,20,(23),6 ,6 ,-,-,,
"1,2-dichloropropane",78-87-5,111.985,1.61,(2.85),0.75,0.78,0.03,-,134,(140),27 ,26 ,1 ,-,,
"1,1-dichloropropane",78-99-9,111.985,0.56,-,0.09,0.09,-,-,22,-,11 ,11 ,-,-,,
"1,3-dichloropropane",142-28-9,111.985,1.55,(5.64),0.10,0.10,-,-,62,(67),72 ,72 ,-,-,,
chloroform,67-66-3,117.914,1.31,(1.76),1.83,1.39,3.39,(1.76),676,(691),281 ,220 ,61 ,(2),,
chlorocyclohexane,542-18-7,118.055,0.99,(5.40),0.62,0.62,-,-,82,(99),61 ,61 ,-,-,,
"(z)-1,3-dichlorobut-2-ene",10075-38-4,123.985,2.44,-,0.14,0.14,-,-,11,-,10 ,10 ,-,-,,
"(e)-1,4-dichlorobut-2-ene",110-57-6,123.985,5.07,(10.40),0.26,0.26,-,-,7,(9),3 ,3 ,-,-,,
"2,3-dichlorobutane",7581-97-7,126.000,2.48,(3.46),0.06,0.06,-,-,12,(13),6 ,6 ,-,-,,
"1,4-dichlorobutane",110-56-5,126.000,5.52,(74.72),0.21,0.21,-,-,51,(64),243 ,243 ,-,-,,
"1,2-dichlorobutane",616-21-7,126.000,1.22,(2.13),0.54,0.54,-,-,19,(20),9 ,9 ,-,-,,
"1,1,2-trichloroethene",79-01-6,129.914,1.56,(2.21),0.47,0.48,0.01,-,282,(285),69 ,68 ,1 ,-,,
"1,1,2-trichloroethane",79-00-5,131.930,1.11,(1.81),0.40,0.40,-,-,65,(67),31 ,31 ,-,-,,
"1,1,1-trichloroethane",71-55-6,131.930,0.93,-,0.63,0.63,-,-,275,-,93 ,93 ,-,-,,
"1,5-dichloropentane",628-76-2,140.016,3.60,(4.88),0.07,0.07,-,-,24,(27),44 ,44 ,-,-,,
"1,2,3-trichloropropane",96-18-4,145.946,10.34,(45.89),0.78,0.78,-,-,21,(27),15 ,15 ,-,-,,
tetrachloromethane,56-23-5,151.875,0.99,(1.16),0.59,0.61,0.13,(6.25),955,(963),924 ,875 ,49 ,(31),,
"1,1,2,2-tetrachloroethene",127-18-4,163.875,1.05,-,0.05,0.05,-,-,234,-,67 ,67 ,-,-,,
"1,1,1,2-tetrachloroethane",630-20-6,165.891,0.64,-,0.61,0.61,-,-,10,-,7 ,7 ,-,-,,
"1,1,2,2-tetrachloroethane",79-34-5,165.891,1.93,(4.82),0.33,0.33,-,-,278,(315),110 ,110 ,-,-,,
"1,1,1,2,2-pentachloroethane",76-01-7,199.852,2.81,(3.54),0.14,0.14,-,-,84,(87),14 ,14 ,-,-,,
"1,1,1,3,3-pentachloropropane",23153-23-3,213.868,4.42,-,0.70,0.70,-,-,23,-,3 ,3 ,-,-,,
"1,2,3,4,5,5-hexachlorocyclopenta-1,3-diene",77-47-4,269.813,6.25,(31.64),0.09,0.09,-,-,31,(39),13 ,13 ,-,-,,
cyclopropane,75-19-4,42.047,1.46,(2.31),1.05,0.59,1.25,(2.32),155,(161),26 ,8 ,18 ,(455),,
oxirane,75-21-8,44.026,1.38,(1.54),0.49,0.08,0.68,(1.92),167,(169),73 ,23 ,50 ,(94),,
cyclobutane,287-23-0,56.063,1.29,(2.35),1.14,1.44,0.22,-,38,(40),16 ,12 ,4 ,-,,
2-methyloxirane,75-56-9,58.042,1.23,(2.74),0.54,0.14,1.35,-,138,(145),24 ,16 ,8 ,-,,
furan,110-00-9,68.026,1.20,-,0.52,0.53,0.33,-,162,-,178 ,171 ,7 ,-,,
cyclopentene,142-29-0,68.063,0.96,(1.95),0.23,0.09,0.84,-,117,(120),32 ,26 ,6 ,-,,
"2,5-dihydrofuran",1708-29-8,70.042,4.97,(6.35),0.78,0.78,-,-,69,(75),4 ,4 ,-,-,,
cyclopentane,287-92-3,70.078,1.02,(1.57),1.78,1.84,0.82,(20.47),175,(177),310 ,290 ,20 ,(7),,
"2,2-dimethyloxirane",558-30-5,72.058,1.24,(2.56),1.41,1.41,-,-,14,(15),4 ,4 ,-,-,,
2-ethyloxirane,106-88-7,72.058,0.45,(1.17),0.33,0.33,-,-,87,(91),4 ,4 ,-,-,,
oxolane,109-99-9,72.058,0.75,(0.88),0.39,0.39,-,-,583,(586),661 ,661 ,-,-,,
1-methylcyclopentene,693-89-0,82.078,2.29,-,0.14,0.14,-,-,21,-,20 ,20 ,-,-,,
cyclohexene,110-83-8,82.078,2.24,(3.45),1.63,1.64,0.59,-,259,(261),354 ,351 ,3 ,-,,
cyclohexane,110-82-7,84.094,0.69,(0.73),0.59,0.60,0.35,(2.71),1989,(1994),2750 ,2717 ,33 ,(467),,
methylcyclopentane,96-37-7,84.094,0.40,(0.49),1.07,1.07,-,-,240,(241),97 ,97 ,-,-,,
2-methyloxolane,96-47-9,86.073,1.00,(1.32),0.51,0.52,0.00,-,175,(178),306 ,305 ,1 ,-,,
oxane,142-68-7,86.073,0.90,(0.99),0.20,0.20,-,-,160,(161),233 ,233 ,-,-,,
"1,4-dioxane",123-91-1,88.052,1.17,(1.54),0.14,0.14,-,-,484,(494),431 ,431 ,-,-,,
"1,3-dioxane",505-22-6,88.052,1.97,-,0.66,0.66,-,-,36,-,9 ,9 ,-,-,,
"2-methyl-1,3-dioxolane",497-26-7,88.052,6.14,(8.37),0.68,0.68,-,-,91,(105),19 ,19 ,-,-,,
"2,5-dimethylfuran",625-86-5,96.058,1.17,(10.17),0.24,0.24,-,-,119,(144),240 ,240 ,-,-,,
cycloheptene,628-92-2,96.094,1.11,(4.74),0.33,0.33,-,-,8,(9),12 ,12 ,-,-,,
"1,1-dimethylcyclopentane",1638-26-2,98.110,1.14,-,0.02,0.02,-,-,46,-,9 ,9 ,-,-,,
"(1r,3r)-1,3-dimethylcyclopentane",1759-58-6,98.110,0.23,-,0.28,0.28,-,-,33,-,6 ,6 ,-,-,,
methylcyclohexane,108-87-2,98.110,0.79,(0.83),0.70,0.71,0.20,-,637,(639),1388 ,1349 ,39 ,-,,
"(1s,2r)-1,2-dimethylcyclopentane",1192-18-3,98.110,0.26,-,0.01,0.01,-,-,25,-,6 ,6 ,-,-,,
ethylcyclopentane,1640-89-7,98.110,0.19,-,0.12,0.12,-,-,59,-,7 ,7 ,-,-,,
"(1s,3r)-1,3-dimethylcyclopentane",2532-58-3,98.110,0.19,-,0.26,0.26,-,-,32,-,7 ,7 ,-,-,,
"(1r,2r)-1,2-dimethylcyclopentane",822-50-4,98.110,0.05,-,0.01,0.01,-,-,23,-,6 ,6 ,-,-,,
cycloheptane,291-64-5,98.110,0.52,-,1.16,1.19,0.50,-,118,-,147 ,140 ,7 ,-,,
cyclooctatetraene,629-20-9,104.063,0.76,(17.47),0.09,0.09,-,-,107,(114),52 ,52 ,-,-,,
4-ethenylcyclohexene,100-40-3,108.094,0.86,(1.02),0.03,0.03,-,-,42,(43),3 ,3 ,-,-,,
cyclooctene,931-88-4,110.110,2.74,-,0.26,0.26,-,-,14,-,13 ,13 ,-,-,,
1-ethylcyclohexene,1453-24-3,110.110,1.54,(1.61),0.22,0.22,-,-,71,(72),16 ,16 ,-,-,,
1-ethyl-1-methylcyclopentane,16747-50-5,112.125,0.16,-,0.02,0.02,-,-,87,-,8 ,8 ,-,-,,
"1,1,3-trimethylcyclopentane",4516-69-2,112.125,2.58,-,0.10,0.10,-,-,30,-,18 ,18 ,-,-,,
"1,1,2-trimethylcyclopentane",4259-00-1,112.125,0.55,-,0.15,0.15,-,-,27,-,20 ,20 ,-,-,,
"(1r,2s)-1,2,4-trimethylcyclopentane",4850-28-6,112.125,0.25,-,0.42,0.42,-,-,59,-,12 ,12 ,-,-,,
propylcyclopentane,2040-96-2,112.125,0.12,-,0.12,0.12,-,-,67,-,10 ,10 ,-,-,,
"1,1-dimethylcyclohexane",590-66-9,112.125,2.69,(3.11),0.01,0.01,-,-,31,(32),6 ,6 ,-,-,,
"(1r,2r)-1,2-dimethylcyclohexane",6876-23-9,112.125,0.62,-,0.04,0.04,-,-,51,-,9 ,9 ,-,-,,
"(1r,3s)-1,3-dimethylcyclohexane",638-04-0,112.125,6.07,-,1.09,1.09,-,-,37,-,9 ,9 ,-,-,,
cyclooctane,292-64-8,112.125,1.21,(2.33),1.29,1.29,-,-,124,(128),167 ,167 ,-,-,,
"(1r,3r)-1,3-dimethylcyclohexane",2207-03-6,112.125,6.65,-,1.24,1.24,-,-,39,-,9 ,9 ,-,-,,
ethylcyclohexane,1678-91-7,112.125,1.00,-,1.49,1.49,-,-,84,-,253 ,253 ,-,-,,
"1,4-dimethylcyclohexane",2207-04-7,112.125,0.50,-,0.02,0.02,-,-,26,-,14 ,14 ,-,-,,
propan-2-ylcyclopentane,3875-51-2,112.125,0.58,-,0.04,0.04,-,-,46,-,10 ,10 ,-,-,,
"1,4-dimethylcyclohexane",624-29-3,112.125,1.75,-,1.52,1.67,0.13,-,51,-,10 ,9 ,1 ,-,,
"(1s,2r)-1,2-dimethylcyclohexane",2207-01-4,112.125,1.00,-,0.28,0.28,-,-,25,-,31 ,31 ,-,-,,
5-ethylidenebicyclo[2.2.1]hept-2-ene,16219-75-3,120.094,1.11,(1.62),0.21,0.21,-,-,49,(50),12 ,12 ,-,-,,
propylcyclohexane,1678-92-8,126.141,1.18,(1.54),0.41,0.41,-,-,71,(72),200 ,200 ,-,-,,
propan-2-ylcyclohexane,696-29-7,126.141,1.68,(1.86),0.03,0.03,-,-,93,(94),51 ,51 ,-,-,,
"1,1,3-trimethylcyclohexane",3073-66-3,126.141,0.83,(1.81),0.10,0.10,-,-,125,(126),43 ,43 ,-,-,,
2-methyl-1-benzofuran,4265-25-2,132.058,3.92,-,0.27,0.27,-,-,38,-,6 ,6 ,-,-,,
3-methylidene-6-propan-2-ylcyclohexene,555-10-2,136.125,4.61,(7.42),0.52,0.52,-,-,7,(9),11 ,11 ,-,-,,
"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",79-92-5,136.125,1.97,(2.29),0.64,0.64,-,-,59,(61),7 ,7 ,-,-,,
1-methyl-4-propan-2-ylidenecyclohexene,586-62-9,136.125,1.69,(6.11),0.74,0.74,-,-,103,(111),18 ,18 ,-,-,,
"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",80-56-8,136.125,0.99,(1.39),0.55,0.55,-,-,252,(257),127 ,127 ,-,-,,
(4r)-1-methyl-4-prop-1-en-2-ylcyclohexene,5989-27-5,136.125,1.95,(2.54),0.53,0.53,-,-,185,(190),295 ,295 ,-,-,,
"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",99-85-4,136.125,3.09,(6.71),0.20,0.20,-,-,11,(14),14 ,14 ,-,-,,
"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",99-86-5,136.125,3.14,(6.59),0.60,0.60,-,-,16,(19),17 ,17 ,-,-,,
"6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",127-91-3,136.125,0.84,(4.54),0.53,0.53,-,-,177,(221),124 ,124 ,-,-,,
"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",99-83-2,136.125,11.53,(27.32),0.41,0.41,-,-,21,(23),15 ,15 ,-,-,,
