Chemical_Family,r,m,ap,p,tt,r_m,r_p,r_ap,r_tt,ap_m,ap_p,ap_tt,tt_m,tt_p,m_p,r_ap_tt,r_ap_m,r_ap_p,r_tt_m,r_tt_p,r_m_p,ap_tt_m,ap_tt_p,ap_m_p,tt_m_p,r_ap_tt_m,r_ap_tt_p,r_ap_m_p,r_tt_m_p,ap_tt_m_p,r_ap_tt_m_p
Elements,"[1.0, 0.649, 2.67, 12.0]","[0.0, 0.638, 3.33, 15.0]","[1.0, 0.649, 1.33, 6.0]","[0.0, 0.582, 4.83, 18.0]","[1.0, NaN, 0.0, 0.0]","[0.0, 0.642, 6.0, 27.0]","[0.0, 0.604, 7.5, 30.0]","[1.0, 0.649, 4.0, 18.0]","[1.0, 0.649, 2.67, 12.0]","[0.0, 0.64, 4.67, 21.0]","[0.0, 0.595, 6.17, 24.0]","[1.0, 0.649, 1.33, 6.0]","[0.0, 0.638, 3.33, 15.0]","[0.0, 0.582, 4.83, 18.0]","[0.0, 0.605, 8.17, 33.0]","[1.0, 0.649, 4.0, 18.0]","[0.0, 0.643, 7.33, 33.0]","[0.0, 0.61, 8.83, 36.0]","[0.0, 0.642, 6.0, 27.0]","[0.0, 0.604, 7.5, 30.0]","[0.0, 0.615, 10.83, 45.0]","[0.0, 0.64, 4.67, 21.0]","[0.0, 0.595, 6.17, 24.0]","[0.0, 0.61, 9.5, 39.0]","[0.0, 0.605, 8.17, 33.0]","[0.0, 0.643, 7.33, 33.0]","[0.0, 0.61, 8.83, 36.0]","[0.0, 0.618, 12.17, 51.0]","[0.0, 0.615, 10.83, 45.0]","[0.0, 0.61, 9.5, 39.0]","[0.0, 0.618, 12.17, 51.0]"
Esters,"[4.0, 0.881, 83.12, 1265.0]","[1.0, 0.902, 39.6, 759.0]","[0.0, 0.807, 81.69, 727.0]","[10.0, 0.806, 51.47, 454.0]","[8.0, 0.866, 14.63, 201.0]","[1.0, 0.888, 122.73, 2024.0]","[0.0, 0.859, 134.59, 1719.0]","[0.0, 0.851, 164.81, 1992.0]","[6.0, 0.879, 97.76, 1466.0]","[0.0, 0.853, 121.29, 1486.0]","[0.0, 0.805, 133.16, 1181.0]","[0.0, 0.819, 96.33, 928.0]","[1.0, 0.894, 54.24, 960.0]","[0.0, 0.823, 66.1, 655.0]","[0.0, 0.863, 91.07, 1213.0]","[0.0, 0.853, 179.45, 2193.0]","[0.0, 0.865, 204.42, 2751.0]","[0.0, 0.842, 216.28, 2446.0]","[1.0, 0.886, 137.36, 2225.0]","[0.0, 0.86, 149.22, 1920.0]","[0.0, 0.872, 174.19, 2478.0]","[0.0, 0.854, 135.93, 1687.0]","[0.0, 0.813, 147.79, 1382.0]","[0.0, 0.841, 172.76, 1940.0]","[0.0, 0.863, 105.7, 1414.0]","[0.0, 0.865, 219.05, 2952.0]","[0.0, 0.844, 230.91, 2647.0]","[0.0, 0.856, 255.88, 3205.0]","[0.0, 0.871, 188.83, 2679.0]","[0.0, 0.843, 187.4, 2141.0]","[0.0, 0.856, 270.52, 3406.0]"
Ethers,"[1.0, 0.821, 62.39, 594.0]","[0.0, 0.842, 23.59, 271.0]","[0.0, 0.756, 47.21, 326.0]","[2.0, 0.69, 51.89, 268.0]","[0.0, 0.828, 11.22, 117.0]","[0.0, 0.826, 85.99, 865.0]","[0.0, 0.776, 114.29, 862.0]","[0.0, 0.795, 109.6, 920.0]","[0.0, 0.822, 73.61, 711.0]","[0.0, 0.793, 70.8, 597.0]","[0.0, 0.723, 99.1, 594.0]","[0.0, 0.774, 58.43, 443.0]","[0.0, 0.837, 34.81, 388.0]","[0.0, 0.728, 63.11, 385.0]","[0.0, 0.761, 75.49, 539.0]","[0.0, 0.799, 120.82, 1037.0]","[0.0, 0.805, 133.2, 1191.0]","[0.0, 0.769, 161.49, 1188.0]","[0.0, 0.826, 97.21, 982.0]","[0.0, 0.782, 125.51, 979.0]","[0.0, 0.791, 137.88, 1133.0]","[0.0, 0.798, 82.02, 714.0]","[0.0, 0.739, 110.32, 711.0]","[0.0, 0.758, 122.69, 865.0]","[0.0, 0.772, 86.7, 656.0]","[0.0, 0.807, 144.41, 1308.0]","[0.0, 0.774, 172.71, 1305.0]","[0.0, 0.782, 185.09, 1459.0]","[0.0, 0.794, 149.1, 1250.0]","[0.0, 0.766, 133.91, 982.0]","[0.0, 0.785, 196.31, 1576.0]"
Fluorides,"[3.0, 0.698, 100.3, 511.0]","[0.0, 0.827, 13.82, 144.0]","[0.0, 0.7, 38.7, 205.0]","[0.0, 0.676, 201.21, 882.0]","[3.0, 0.807, 9.92, 90.0]","[0.0, 0.722, 114.12, 655.0]","[0.0, 0.681, 301.5, 1393.0]","[0.0, 0.698, 138.99, 716.0]","[1.0, 0.712, 110.22, 601.0]","[0.0, 0.748, 52.52, 349.0]","[0.0, 0.679, 239.9, 1087.0]","[0.0, 0.73, 48.62, 295.0]","[0.0, 0.818, 23.74, 234.0]","[0.0, 0.685, 211.13, 972.0]","[0.0, 0.691, 215.03, 1026.0]","[0.0, 0.708, 148.91, 806.0]","[0.0, 0.716, 152.81, 860.0]","[0.0, 0.683, 340.2, 1598.0]","[0.0, 0.731, 124.04, 745.0]","[0.0, 0.687, 311.42, 1483.0]","[0.0, 0.692, 315.32, 1537.0]","[0.0, 0.759, 62.44, 439.0]","[0.0, 0.686, 249.82, 1177.0]","[0.0, 0.692, 253.72, 1231.0]","[0.0, 0.698, 224.95, 1116.0]","[0.0, 0.723, 162.73, 950.0]","[0.0, 0.688, 350.12, 1688.0]","[0.0, 0.692, 354.02, 1742.0]","[0.0, 0.697, 325.25, 1627.0]","[0.0, 0.698, 263.65, 1321.0]","[0.0, 0.697, 363.94, 1832.0]"
Halogenated compounds,"[0.0, 0.839, 49.54, 541.0]","[0.0, 0.851, 15.2, 185.0]","[0.0, 0.816, 23.7, 227.0]","[1.0, 0.666, 76.42, 358.0]","[1.0, 0.865, 5.76, 76.0]","[0.0, 0.841, 64.73, 726.0]","[0.0, 0.764, 125.95, 899.0]","[0.0, 0.832, 73.24, 768.0]","[0.0, 0.842, 55.3, 617.0]","[0.0, 0.831, 38.9, 412.0]","[0.0, 0.719, 100.11, 585.0]","[0.0, 0.828, 29.46, 303.0]","[0.0, 0.855, 20.96, 261.0]","[0.0, 0.696, 82.17, 434.0]","[0.0, 0.721, 91.61, 543.0]","[0.0, 0.834, 79.0, 844.0]","[0.0, 0.835, 88.43, 953.0]","[0.0, 0.773, 149.65, 1126.0]","[0.0, 0.843, 70.49, 802.0]","[0.0, 0.771, 131.71, 975.0]","[0.0, 0.777, 141.15, 1084.0]","[0.0, 0.836, 44.65, 488.0]","[0.0, 0.734, 105.87, 661.0]","[0.0, 0.747, 115.31, 770.0]","[0.0, 0.737, 97.37, 619.0]","[0.0, 0.837, 94.19, 1029.0]","[0.0, 0.779, 155.41, 1202.0]","[0.0, 0.783, 164.85, 1311.0]","[0.0, 0.782, 146.91, 1160.0]","[0.0, 0.757, 121.07, 846.0]","[0.0, 0.787, 170.61, 1387.0]"
Inorganic compounds,"[1.0, 0.882, 10.16, 155.0]","[0.0, 0.879, 6.83, 105.0]","[1.0, 0.876, 5.72, 83.0]","[0.0, 0.821, 34.07, 316.0]","[1.0, 0.955, 0.18, 4.0]","[0.0, 0.88, 16.99, 260.0]","[0.0, 0.839, 44.23, 471.0]","[1.0, 0.88, 15.88, 238.0]","[1.0, 0.883, 10.34, 159.0]","[0.0, 0.877, 12.55, 188.0]","[0.0, 0.831, 39.79, 399.0]","[1.0, 0.878, 5.9, 87.0]","[0.0, 0.88, 7.02, 109.0]","[0.0, 0.822, 34.25, 320.0]","[0.0, 0.833, 40.9, 421.0]","[1.0, 0.88, 16.06, 242.0]","[0.0, 0.879, 22.71, 343.0]","[0.0, 0.844, 49.95, 554.0]","[0.0, 0.881, 17.17, 264.0]","[0.0, 0.84, 44.41, 475.0]","[0.0, 0.845, 51.06, 576.0]","[0.0, 0.878, 12.74, 192.0]","[0.0, 0.832, 39.97, 403.0]","[0.0, 0.839, 46.62, 504.0]","[0.0, 0.834, 41.08, 425.0]","[0.0, 0.879, 22.89, 347.0]","[0.0, 0.844, 50.13, 558.0]","[0.0, 0.849, 56.78, 659.0]","[0.0, 0.846, 51.24, 580.0]","[0.0, 0.84, 46.8, 508.0]","[0.0, 0.849, 56.96, 663.0]"
Ketones,"[2.0, 0.818, 61.39, 552.0]","[0.0, 0.824, 23.76, 242.0]","[0.0, 0.723, 38.7, 234.0]","[2.0, 0.689, 44.4, 217.0]","[1.0, 0.822, 12.28, 123.0]","[0.0, 0.817, 85.15, 794.0]","[0.0, 0.778, 105.79, 769.0]","[0.0, 0.787, 100.09, 786.0]","[1.0, 0.817, 73.67, 675.0]","[0.0, 0.772, 62.46, 476.0]","[0.0, 0.702, 83.1, 451.0]","[0.0, 0.756, 50.98, 357.0]","[0.0, 0.823, 36.04, 365.0]","[0.0, 0.731, 56.68, 340.0]","[0.0, 0.753, 68.15, 459.0]","[0.0, 0.791, 112.37, 909.0]","[0.0, 0.794, 123.85, 1028.0]","[0.0, 0.763, 144.49, 1003.0]","[0.0, 0.818, 97.43, 917.0]","[0.0, 0.783, 118.07, 892.0]","[0.0, 0.787, 129.54, 1011.0]","[0.0, 0.782, 74.74, 599.0]","[0.0, 0.726, 95.38, 574.0]","[0.0, 0.741, 106.85, 693.0]","[0.0, 0.766, 80.44, 582.0]","[0.0, 0.797, 136.13, 1151.0]","[0.0, 0.769, 156.77, 1126.0]","[0.0, 0.773, 168.24, 1245.0]","[0.0, 0.79, 141.83, 1134.0]","[0.0, 0.753, 119.14, 816.0]","[0.0, 0.777, 180.53, 1368.0]"
Nitriles,"[0.0, 0.76, 28.72, 190.0]","[0.0, 0.765, 15.77, 117.0]","[0.0, 0.71, 21.06, 120.0]","[1.0, 0.654, 25.66, 112.0]","[1.0, 0.772, 5.8, 43.0]","[0.0, 0.759, 44.49, 307.0]","[0.0, 0.717, 54.38, 302.0]","[0.0, 0.739, 49.78, 310.0]","[0.0, 0.761, 34.52, 233.0]","[0.0, 0.736, 36.84, 237.0]","[0.0, 0.679, 46.72, 232.0]","[0.0, 0.726, 26.86, 163.0]","[0.0, 0.766, 21.57, 160.0]","[0.0, 0.683, 31.45, 155.0]","[0.0, 0.704, 41.43, 229.0]","[0.0, 0.742, 55.58, 353.0]","[0.0, 0.745, 65.55, 427.0]","[0.0, 0.714, 75.44, 422.0]","[0.0, 0.761, 50.29, 350.0]","[0.0, 0.723, 60.17, 345.0]","[0.0, 0.728, 70.15, 419.0]","[0.0, 0.741, 42.63, 280.0]","[0.0, 0.693, 52.52, 275.0]","[0.0, 0.705, 62.49, 349.0]","[0.0, 0.714, 47.23, 272.0]","[0.0, 0.747, 71.35, 470.0]","[0.0, 0.719, 81.23, 465.0]","[0.0, 0.723, 91.21, 539.0]","[0.0, 0.732, 75.95, 462.0]","[0.0, 0.712, 68.29, 392.0]","[0.0, 0.727, 97.01, 582.0]"
Other compounds,"[26.0, 0.965, 172.59, 9523.0]","[8.0, 0.978, 42.48, 3865.0]","[5.0, 0.926, 83.41, 2160.0]","[29.0, 0.91, 138.63, 2809.0]","[36.0, 0.971, 18.5, 1248.0]","[8.0, 0.969, 215.07, 13388.0]","[15.0, 0.952, 311.22, 12332.0]","[4.0, 0.958, 256.0, 11683.0]","[31.0, 0.966, 191.09, 10771.0]","[0.0, 0.959, 125.89, 6025.0]","[0.0, 0.916, 222.04, 4969.0]","[4.0, 0.942, 101.91, 3408.0]","[8.0, 0.976, 60.97, 5113.0]","[1.0, 0.927, 157.12, 4057.0]","[0.0, 0.948, 181.11, 6674.0]","[4.0, 0.959, 274.5, 12931.0]","[0.0, 0.963, 298.48, 15548.0]","[0.0, 0.948, 394.63, 14492.0]","[8.0, 0.969, 233.56, 14636.0]","[0.0, 0.953, 329.72, 13580.0]","[0.0, 0.958, 353.7, 16197.0]","[0.0, 0.961, 144.38, 7273.0]","[0.0, 0.927, 240.53, 6217.0]","[0.0, 0.942, 264.51, 8834.0]","[0.0, 0.951, 199.6, 7922.0]","[0.0, 0.963, 316.97, 16796.0]","[0.0, 0.949, 413.12, 15740.0]","[0.0, 0.954, 437.11, 18357.0]","[0.0, 0.959, 372.19, 17445.0]","[0.0, 0.946, 283.01, 10082.0]","[0.0, 0.955, 455.6, 19605.0]"
Polyfunctional compounds,"[0.0, 0.907, 149.53, 2993.0]","[0.0, 0.917, 31.63, 723.0]","[0.0, 0.87, 49.66, 703.0]","[0.0, 0.833, 97.37, 1022.0]","[1.0, 0.917, 14.48, 331.0]","[0.0, 0.909, 181.16, 3716.0]","[0.0, 0.887, 246.91, 4015.0]","[0.0, 0.9, 199.19, 3696.0]","[0.0, 0.908, 164.01, 3324.0]","[0.0, 0.893, 81.29, 1426.0]","[0.0, 0.847, 147.03, 1725.0]","[0.0, 0.885, 64.14, 1034.0]","[0.0, 0.917, 46.11, 1054.0]","[0.0, 0.852, 111.86, 1353.0]","[0.0, 0.865, 129.0, 1745.0]","[0.0, 0.901, 213.67, 4027.0]","[0.0, 0.902, 230.82, 4419.0]","[0.0, 0.884, 296.57, 4718.0]","[0.0, 0.909, 195.64, 4047.0]","[0.0, 0.889, 261.39, 4346.0]","[0.0, 0.891, 278.54, 4738.0]","[0.0, 0.897, 95.77, 1757.0]","[0.0, 0.858, 161.51, 2056.0]","[0.0, 0.866, 178.66, 2448.0]","[0.0, 0.873, 143.48, 2076.0]","[0.0, 0.903, 245.3, 4750.0]","[0.0, 0.886, 311.05, 5049.0]","[0.0, 0.888, 328.19, 5441.0]","[0.0, 0.893, 293.02, 5069.0]","[0.0, 0.872, 193.14, 2779.0]","[0.0, 0.89, 342.68, 5772.0]"
