m_sigma_3,m_epsilon,m_sigma_3_r2,m_epsilon_r2,Mw
"[67.89123977560497, 215.45301556368526, 277.67309096142344, 344.0158494999388, 480.39226411229794, 655.6260814292456, 45.57118008198999, 752.9670304778745, 84.754115913187, 164.87670558253282, 393.1371006804158, 426.70990943149764, 513.9759800178693, 814.2946513117868, 120.41890792255661, 252.2582661735066, 582.4087311295054, 794.7758757601792, 181.69634820631688, 271.0738223692905, 333.7157937267208, 465.91923223941706, 566.0781287844567]","[559.528441980698, 1569.4262677669078, 2038.948659061205, 2578.3688964120925, 3466.7191459919213, 4383.009006584228, 372.7916660998791, 4808.266166473031, 655.2311394638903, 1192.6079921762466, 2790.621205313015, 3029.3584287634135, 3574.687755796432, 5228.752703542948, 876.8329132174049, 1807.1737986781716, 3905.7286340048795, 5142.068681724071, 1326.2794802714347, 1925.4176585006653, 2331.7146888286297, 3207.74145563097, 3902.907437894822]",0.9549280690814432,-1.1772418620705496,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.91411742641334, 215.73434761605924, 278.28324085528527, 344.8836324402333, 480.8291488527839, 655.7742125697545, 45.55149609936376, 751.4379946090776, 84.525136494105, 164.5982406795843, 392.9288923873882, 426.57542733904995, 513.2018298832637, 813.8540469935222, 120.02062781950347, 251.80966659938315, 580.498198087933, 792.1594767054481, 181.47751586483378, 270.9078285990865, 333.50607054361535, 465.58787152624785, 565.6629899790154]","[558.6955796383962, 1561.311411086801, 2028.1623537218925, 2563.3935191444334, 3442.1313293240905, 4349.2908200733655, 372.11003696587306, 4755.032487285554, 650.8975527796727, 1183.5829540251868, 2765.198158303821, 3000.819946052313, 3538.735868226576, 5173.978931273842, 869.0115259006277, 1788.9805660883187, 3860.7190145797845, 5083.099718270016, 1317.4186149032148, 1911.5803872225165, 2313.622317383569, 3179.0297148179056, 3863.9376270495777]",0.9558807411773893,-1.0824025340286378,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.91645624771068, 215.73272112547707, 278.47684708628213, 345.1882595354254, 480.34951255501664, 654.5499813100486, 45.513704072529805, 748.5168053576288, 84.20123454794287, 164.11195405378456, 392.01677871403314, 425.6287006624291, 511.5047442537361, 811.8007078590973, 119.47484583297926, 250.98363016926257, 577.4785580465667, 788.25447493956, 181.01882569212216, 270.3326211449597, 332.7496400629158, 464.414052549167, 564.1661629402815]","[557.7637356262213, 1552.0370395789446, 2015.7336931785642, 2546.227079789561, 3414.513688834786, 4311.625511156059, 371.3512767685738, 4697.505860813534, 646.052682710946, 1173.5913899179995, 2737.074998639214, 2969.4364578920963, 3499.4425185230966, 5114.159248571563, 860.4449037165642, 1769.1479106143715, 3812.1847587600582, 5019.890420401097, 1307.4982892058997, 1896.129470090014, 2293.521899997711, 3147.677576518905, 3821.7608239603046]",0.9582866355151969,-0.9812483597322583,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.90076411753923, 215.48792475867344, 278.315754479799, 345.01352176960273, 479.1286353697293, 652.2462902045276, 45.46150188705065, 744.5583004656853, 83.79629717327471, 163.45554019414152, 390.54689673419415, 424.05565514396136, 509.1263075426017, 808.5469879021603, 118.79763097470104, 249.8431700155827, 573.590993399716, 783.39309002841, 180.3746255405734, 269.4492842561425, 331.589970009737, 462.63661858196133, 561.9176660813577]","[556.7389357130229, 1541.7221637466073, 2001.8431906704066, 2527.143089617825, 3384.2910353511575, 4270.645435737801, 370.52335741309076, 4636.1303253779415, 640.7396857493874, 1162.7252715664565, 2706.514961702979, 2935.5097559188125, 3457.192960505783, 5049.635704580784, 851.1533937961459, 1747.8299706871628, 3760.508128817808, 4952.836043361568, 1296.6545214343337, 1879.288933702874, 2271.7032443451644, 3114.1135658370845, 3776.9182986433025]",0.9616536642184085,-0.8754069115223813,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.86931271067468, 215.03490760898922, 277.8571309960908, 344.4408748502397, 477.32282080520184, 649.0180499054935, 45.39529753448489, 739.778563243302, 83.3187236496149, 162.6551565048257, 388.6202829756233, 421.9922152086394, 506.24717282492577, 804.4221799904565, 118.0108730606506, 248.43166349496687, 569.0034019685481, 777.8015271420634, 179.58373939861158, 268.3344431975077, 330.1345535708557, 460.4366206516806, 559.1655089679095]","[555.6257995793336, 1530.461067391777, 1986.639517040062, 2506.3612795286354, 3351.7618240380048, 4227.041003900529, 369.6224119195767, 4570.965423489332, 634.9708598599724, 1151.0250671510696, 2673.4932199037075, 2899.1998934182875, 3412.155276116932, 4980.91701765933, 841.2497596350703, 1725.1090339339075, 3705.8603318846704, 4882.013506280899, 1284.9624500552775, 1861.1958161874295, 2248.3553352217195, 3078.5865994102473, 3729.714857169807]",0.9655935339440843,-0.7661013659348006,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.8244696064578, 214.39893565100834, 277.14845022123836, 343.5377396614858, 475.0611291553381, 644.8548919886993, 45.30976330393596, 734.3471771331625, 82.77531781077325, 161.72869327521187, 386.3145660319244, 419.52610573906435, 503.0134676012825, 799.5777104050362, 117.1146938957262, 246.7714841056112, 563.7972076431971, 771.6644613579322, 178.6681525737576, 267.0403055276876, 328.4591273391258, 457.93533444716917, 556.0641174134246]","[554.4288079475849, 1518.3176634743272, 1970.234556257737, 2484.0347276701923, 3317.0854713036297, 4181.309989066505, 368.63381615406945, 4502.033200326287, 628.7557162450682, 1138.5135975267083, 2638.247483886051, 2860.5159384911535, 3364.301398544645, 4907.726893441176, 830.6859963620183, 1701.011419708282, 3648.2142286755675, 4807.776141064489, 1272.4444697142242, 1841.9228065539392, 2223.5686472677594, 3041.1948247289297, 3680.22115381658]",0.9698346701826536,-0.6541915780102254,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.7679056662423, 213.61837124770557, 276.2213402796601, 342.3561503681145, 472.43568926466804, 640.1705406830451, 45.21510789454529, 728.3247869435429, 82.16879550899542, 160.684070290477, 383.65966419037477, 416.6916341917694, 499.51458343157395, 794.2131453364442, 116.10943434799454, 244.8681139579295, 558.0684819770045, 765.0248958732794, 177.62900029265097, 265.59426977285335, 326.605103643717, 455.19764529647955, 552.6527707066973]","[553.1508594957286, 1505.3803976019144, 1952.6793302981796, 2460.2474749965368, 3280.3636961488364, 4133.077406389237, 367.5734725930541, 4429.005073929072, 622.0898626030013, 1125.1841903699756, 2600.748703444004, 2819.2168105366227, 3313.308280035401, 4830.09405619812, 819.4543010244247, 1675.5234987757385, 3587.5481470537666, 4729.9805141975285, 1259.0567109480203, 1821.4800643797398, 2197.335337309647, 3001.909042548156, 3628.251682905102]",0.9740764743362972,-0.5400706893442351,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.70065957586735, 212.70502907064017, 275.0889387660991, 340.92766751863644, 469.50376726791853, 635.1377059284897, 45.11551482159551, 721.825848783963, 81.49889425808097, 159.51540036069355, 380.6497881732881, 413.48735236272523, 495.6860253268686, 788.3424850505289, 114.99094393627796, 242.712640547363, 551.8089654507916, 757.8625030931959, 176.49429701818698, 264.0018253304406, 324.56708406096163, 452.2311752321703, 548.9502880604995]","[551.7912537628546, 1491.6446991548326, 1933.9480107596519, 2435.0000849369644, 3241.5676829682347, 4081.8095397457478, 366.44436927128396, 4352.015752523517, 614.9607284412325, 1111.0027200940608, 2560.8637555426653, 2775.169491383743, 3259.0843518769507, 4747.692545530485, 807.5572514353887, 1648.6000639317515, 3523.575115920448, 4648.497618493723, 1244.8844149503293, 1799.8275827453165, 2169.6333684479478, 2960.581477614176, 3573.5918723063346]",0.9781280525524705,-0.42412235999245973,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.62339228925806, 211.66485502631946, 273.7402749036958, 339.2558373211141, 466.2890059215949, 629.8118628691989, 45.009903230438674, 714.8819838119562, 80.76383981307701, 158.27516852229792, 377.2566773144866, 409.89076019882816, 491.47037975919, 781.9181879278801, 113.74288636172889, 240.2862212480367, 544.9555067539583, 750.0983639285541, 175.25897050583296, 262.2509182875581, 322.33120447864036, 449.007296459448, 544.9397112510545]","[550.3478366900601, 1477.0798552450956, 1913.933019548088, 2408.255204018462, 3200.5666169326782, 4027.673294928432, 365.2438686073005, 4271.113242510378, 607.3534406391979, 1096.048423868671, 2518.4370286291482, 2728.399182273018, 3201.466410143542, 4659.98904132967, 794.9262383901324, 1620.2055663778838, 3455.9225843071463, 4563.1059522733685, 1229.8971686972827, 1776.8905832495034, 2140.3409327001214, 2916.9534387077806, 3516.0266401750096]",0.9818388312632771,-0.30682901381748384,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.53654815938707, 210.4963766986308, 272.2012340773443, 337.3323344233992, 462.77970834905244, 624.2088993997247, 44.895930150596165, 707.1998868208209, 79.95889804654568, 156.90683939100057, 373.43902083938934, 405.85278397579685, 486.824747867596, 775.0028470248685, 112.34922008397311, 237.5644288619082, 537.4061912735231, 741.6458308326048, 173.91159546979796, 260.3168397782668, 319.861487784299, 445.475624418466, 540.5086777359913]","[548.8180187810868, 1461.6104885708212, 1892.6748500648498, 2379.9114740834534, 3157.1506919223666, 3970.914597317207, 363.9647886128683, 4184.9329539663795, 599.2344046727478, 1080.1718091171265, 2473.2758030354976, 2678.6715700880054, 3140.1950300318595, 4566.597265319825, 781.5044046365402, 1590.3026596061884, 3384.947568008447, 4473.322467179131, 1214.0551359878225, 1752.5749881049037, 2109.3229166235333, 2870.6694297118665, 3455.1205946886425]",0.9850719814364207,-0.1885508764810535,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.44073302691197, 209.19425462709336, 270.450909225311, 335.13252981856965, 458.9413324804767, 618.2523156533118, 44.77101819230422, 698.7293098985997, 79.07732046146401, 155.4054824844913, 369.1422200286639, 401.3271746709045, 481.70559547829055, 767.7466292120998, 110.82713814269775, 234.51903885465043, 529.1098409508713, 732.4530263042074, 172.43343025868293, 258.1658631825276, 317.110526527284, 441.5359521245265, 535.7519842193433]","[547.2005300316364, 1445.3022819912583, 1869.9722463515757, 2349.8157563561203, 3111.0529436818115, 3910.8717086399793, 362.59741732739207, 4092.8853629085897, 590.5647612059116, 1063.3299190241187, 2425.274267553306, 2625.865061228323, 3075.1393025683637, 4466.9195459917655, 767.3234355507013, 1558.8727863503902, 3310.6805468700168, 4378.943299316562, 1197.3009772366138, 1726.7704315245212, 2076.425281015671, 2821.696054935193, 3391.7262063942194]",0.9876170050120889,-0.06995911046561964,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
